Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio,Home Team Evaluation,Away Team Evaluation,Penalties,Penalties Winner
2,1,55,11,2 - 1,55,2,1,3,Young Boys,Manchester United,1,1,0.6666666666666666,0.3333333333333333,8.0,18.0,0,
3,1,10,28,1 - 1,28,1,1,2,Sevilla,FC Salzburg,0,0,0.5,0.5,12.0,17.0,0,
1,1,19,504,2 - 2,504,2,2,4,Villarreal,Atlantas Klaipeda,0,0,0.5,0.5,24.0,,0,
4,1,33,20,0 - 0,20,0,0,0,Dynamo Kyiv,Benfica,0,0,,,5.0,20.0,1,20.0
5,1,3,2,0 - 3,2,0,3,3,FC Barcelona,Bayern München,0,-3,0.0,1.0,15.0,26.0,0,
6,1,71,54,0 - 0,54,0,0,0,Lille OSC,VfL Wolfsburg,0,0,,,17.0,8.0,1,54.0
7,1,86,6,0 - 3,6,0,3,3,Malmö FF,Juventus,0,-3,0.0,1.0,5.0,20.0,0,
8,1,9,30,1 - 0,9,1,0,1,Chelsea,Zenit St. Petersburg,1,1,1.0,0.0,25.0,8.0,0,
9,1,46,13,1 - 2,13,1,2,3,Besiktas,Borussia Dortmund,0,-1,0.3333333333333333,0.6666666666666666,4.0,10.0,0,
10,1,104,21,2 - 0,104,2,0,2,Sheriff Tiraspol,Shakhtar Donetsk,1,2,1.0,0.0,9.0,6.0,0,
11,1,31,8,1 - 1,8,1,1,2,Club Brugge,Paris Saint-Germain,0,0,0.5,0.5,7.0,19.0,0,
12,1,4,24,6 - 3,4,6,3,9,Manchester City,RB Leipzig,1,3,0.6666666666666666,0.3333333333333333,27.0,17.0,0,
13,1,7,12,0 - 0,12,0,0,0,Atlético Madrid,FC Porto,0,0,,,19.0,10.0,1,12.0
14,1,5,25,3 - 2,5,3,2,5,Liverpool,AC Milan,1,1,0.6,0.4,33.0,7.0,0,
15,1,29,17,1 - 5,17,1,5,6,Sporting CP Lisbon,Ajax,0,-4,0.16666666666666666,0.8333333333333334,16.0,22.0,0,
16,1,18,1,0 - 1,1,0,1,1,Internazionale,Real Madrid,0,-1,0.0,1.0,18.0,30.0,0,
17,2,17,46,2 - 0,17,2,0,2,Ajax,Besiktas,1,2,1.0,0.0,22.0,4.0,0,
18,2,21,18,0 - 0,18,0,0,0,Shakhtar Donetsk,Internazionale,0,0,,,6.0,18.0,1,18.0
